rainfall_date;mm;basin_id
2020-01-01;3.5;2070594030b
2020-01-02;3.0;2070594030b
2020-01-03;3.2;2070594030b
2020-01-04;3.1;2070594030b
2020-01-05;3.6;2070594030b
2020-01-06;3.9;2070594030b
2020-01-07;3.4;2070594030b
2020-01-08;3.4;2070594030b
2020-01-09;2.9;2070594030b
2020-01-10;3.1;2070594030b
2020-01-11;3.7;2070594030b
2020-01-12;3.4;2070594030b
2020-01-13;3.0;2070594030b
2020-01-14;3.0;2070594030b
2020-01-15;4.0;2070594030b
2020-01-16;4.4;2070594030b
2020-01-17;3.9;2070594030b
2020-01-18;3.5;2070594030b
2020-01-19;3.8;2070594030b
2020-01-20;3.8;2070594030b
2020-01-21;3.4;2070594030b
2020-01-22;3.7;2070594030b
2020-01-23;3.6;2070594030b
2020-01-24;3.4;2070594030b
2020-01-25;3.0;2070594030b
2020-01-26;3.4;2070594030b
2020-01-27;3.5;2070594030b
2020-01-28;3.4;2070594030b
2020-01-29;3.1;2070594030b
2020-01-30;3.4;2070594030b
2020-01-31;4.1;2070594030b
2020-02-01;4.2;2070594030b
2020-02-02;3.1;2070594030b
2020-02-03;3.2;2070594030b
2020-02-04;3.5;2070594030b
2020-02-05;3.1;2070594030b
2020-02-06;3.0;2070594030b
2020-02-07;3.4;2070594030b
2020-02-08;2.3;2070594030b
2020-02-09;3.2;2070594030b
2020-02-10;3.5;2070594030b
2020-02-11;3.8;2070594030b
2020-02-12;3.0;2070594030b
2020-02-13;3.8;2070594030b
2020-02-14;3.2;2070594030b
2020-02-15;3.7;2070594030b
2020-02-16;3.3;2070594030b
2020-02-17;3.2;2070594030b
2020-02-18;3.2;2070594030b
2020-02-19;3.1;2070594030b
2020-02-20;2.3;2070594030b
2020-02-21;2.8;2070594030b
2020-02-22;2.8;2070594030b
2020-02-23;3.3;2070594030b
2020-02-24;2.4;2070594030b
2020-02-25;2.9;2070594030b
2020-02-26;2.7;2070594030b
2020-02-27;3.0;2070594030b
2020-02-28;2.2;2070594030b
2020-02-29;2.9;2070594030b
2020-03-01;2.9;2070594030b
2020-03-02;3.1;2070594030b
2020-03-03;3.0;2070594030b
2020-03-04;2.7;2070594030b
2020-03-05;2.2;2070594030b
2020-03-06;2.5;2070594030b
2020-03-07;3.2;2070594030b
2020-03-08;2.8;2070594030b
2020-03-09;2.5;2070594030b
2020-03-10;2.8;2070594030b
2020-03-11;2.9;2070594030b
2020-03-12;3.0;2070594030b
2020-03-13;2.8;2070594030b
2020-03-14;3.0;2070594030b
2020-03-15;2.9;2070594030b
2020-03-16;2.6;2070594030b
2020-03-17;2.4;2070594030b
2020-03-18;2.4;2070594030b
2020-03-19;2.7;2070594030b
2020-03-20;2.7;2070594030b
2020-03-21;3.0;2070594030b
2020-03-22;3.4;2070594030b
2020-03-23;3.1;2070594030b
2020-03-24;2.3;2070594030b
2020-03-25;3.0;2070594030b
2020-03-26;2.5;2070594030b
2020-03-27;2.6;2070594030b
2020-03-28;3.0;2070594030b
2020-03-29;2.6;2070594030b
2020-03-30;2.3;2070594030b
2020-03-31;2.7;2070594030b
2020-04-01;3.0;2070594030b
2020-04-02;2.9;2070594030b
2020-04-03;2.9;2070594030b
2020-04-04;2.5;2070594030b
2020-04-05;2.8;2070594030b
2020-04-06;3.3;2070594030b
2020-04-07;2.7;2070594030b
2020-04-08;3.0;2070594030b
2020-04-09;2.9;2070594030b
2020-04-10;3.0;2070594030b
2020-04-11;3.0;2070594030b
2020-04-12;2.5;2070594030b
2020-04-13;2.9;2070594030b
2020-04-14;2.5;2070594030b
2020-04-15;3.6;2070594030b
2020-04-16;3.2;2070594030b
2020-04-17;2.7;2070594030b
2020-04-18;3.0;2070594030b
2020-04-19;2.5;2070594030b
2020-04-20;2.8;2070594030b
2020-04-21;3.2;2070594030b
2020-04-22;3.0;2070594030b
2020-04-23;3.8;2070594030b
2020-04-24;2.6;2070594030b
2020-04-25;2.2;2070594030b
2020-04-26;3.2;2070594030b
2020-04-27;2.8;2070594030b
2020-04-28;2.7;2070594030b
2020-04-29;3.3;2070594030b
2020-04-30;3.2;2070594030b
2020-05-01;2.8;2070594030b
2020-05-02;3.0;2070594030b
2020-05-03;2.8;2070594030b
2020-05-04;3.0;2070594030b
2020-05-05;2.8;2070594030b
2020-05-06;3.8;2070594030b
2020-05-07;2.8;2070594030b
2020-05-08;2.8;2070594030b
2020-05-09;2.6;2070594030b
2020-05-10;3.0;2070594030b
2020-05-11;3.4;2070594030b
2020-05-12;3.1;2070594030b
2020-05-13;3.0;2070594030b
2020-05-14;3.1;2070594030b
2020-05-15;3.1;2070594030b
2020-05-16;3.1;2070594030b
2020-05-17;2.7;2070594030b
2020-05-18;3.2;2070594030b
2020-05-19;2.5;2070594030b
